DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006 Aug,105,103,98.10%,100,95.20%,97.10%,56,53.30%,54.40%,44,41.90%,42.70%,3,2.90%,2.90%,2,1.90%,0,0%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2001,83,82,98.80%,80,96.40%,97.60%,16,19.30%,19.50%,64,77.10%,78%,2,2.40%,2.40%,0,0%,1,1.20%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2002,102,101,99%,97,95.10%,96%,64,62.70%,63.40%,33,32.40%,32.70%,4,3.90%,4%,0,0%,0,0%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2003,104,102,98.10%,97,93.30%,95.10%,75,72.10%,73.50%,22,21.20%,21.60%,5,4.80%,4.90%,2,1.90%,0,0%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2004,102,99,97.10%,92,90.20%,92.90%,57,55.90%,57.60%,35,34.30%,35.40%,7,6.90%,7.10%,2,2%,1,1%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2005,133,127,95.50%,118,88.70%,92.90%,77,57.90%,60.60%,41,30.80%,32.30%,9,6.80%,7.10%,4,3%,2,1.50%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2006,124,113,91.10%,106,85.50%,93.80%,62,50%,54.90%,44,35.50%,38.90%,7,5.60%,6.20%,9,7.30%,2,1.60%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2006 Aug,124,118,95.20%,106,85.50%,89.80%,62,50%,52.50%,44,35.50%,37.30%,12,9.70%,10.20%,4,3.20%,2,1.60%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2001,71,67,94.40%,67,94.40%,100%,0,0%,0%,67,94.40%,100%,0,0%,0%,3,4.20%,0,0%
02M419,LANDMARK HIGH SCHOOL,2004,54,25,46.30%,0,0%,0%,0,0%,0%,0,0%,0%,25,46.30%,100%,21,38.90%,6,11.10%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2002,73,56,76.70%,56,76.70%,100%,0,0%,0%,56,76.70%,100%,0,0%,0%,14,19.20%,3,4.10%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2003,92,85,92.40%,84,91.30%,98.80%,0,0%,0%,84,91.30%,98.80%,1,1.10%,1.20%,5,5.40%,2,2.20%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2004,96,75,78.10%,75,78.10%,100%,0,0%,0%,75,78.10%,100%,0,0%,0%,21,21.90%,0,0%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2005,84,73,86.90%,73,86.90%,100%,0,0%,0%,73,86.90%,100%,0,0%,0%,9,10.70%,2,2.40%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2006,95,61,64.20%,61,64.20%,100%,0,0%,0%,61,64.20%,100%,0,0%,0%,31,32.60%,2,2.10%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2006 Aug,95,75,78.90%,75,78.90%,100%,0,0%,0%,75,78.90%,100%,0,0%,0%,17,17.90%,2,2.10%
02M414,N.Y.C. MUSEUM SCHOOL,2001,53,45,84.90%,45,84.90%,100%,5,9.40%,11.10%,40,75.50%,88.90%,0,0%,0%,8,15.10%,0,0%
02M414,N.Y.C. MUSEUM SCHOOL,2002,56,43,76.80%,39,69.60%,90.70%,10,17.90%,23.30%,29,51.80%,67.40%,4,7.10%,9.30%,9,16.10%,3,5.40%
02M414,N.Y.C. MUSEUM SCHOOL,2003,52,38,73.10%,33,63.50%,86.80%,7,13.50%,18.40%,26,50%,68.40%,5,9.60%,13.20%,12,23.10%,2,3.80%
02M414,N.Y.C. MUSEUM SCHOOL,2004,75,69,92%,58,77.30%,84.10%,6,8%,8.70%,52,69.30%,75.40%,11,14.70%,15.90%,3,4%,3,4%
02M414,N.Y.C. MUSEUM SCHOOL,2005,100,94,94%,80,80%,85.10%,27,27%,28.70%,53,53%,56.40%,14,14%,14.90%,6,6%,0,0%
02M414,N.Y.C. MUSEUM SCHOOL,2006,106,100,94.30%,86,81.10%,86%,5,4.70%,5%,81,76.40%,81%,14,13.20%,14%,3,2.80%,2,1.90%
02M414,N.Y.C. MUSEUM SCHOOL,2006 Aug,106,102,96.20%,86,81.10%,84.30%,5,4.70%,4.90%,81,76.40%,79.40%,16,15.10%,15.70%,1,0.90%,2,1.90%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2001,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2002,101,98,97%,97,96%,99%,0,0%,0%,97,96%,99%,1,1%,1%,2,2%,1,1%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2003,117,116,99.10%,115,98.30%,99.10%,77,65.80%,66.40%,38,32.50%,32.80%,1,0.90%,0.90%,1,0.90%,0,0%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2004,105,105,100%,101,96.20%,96.20%,69,65.70%,65.70%,32,30.50%,30.50%,4,3.80%,3.80%,0,0%,0,0%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2005,115,114,99.10%,113,98.30%,99.10%,76,66.10%,66.70%,37,32.20%,32.50%,1,0.90%,0.90%,0,0%,0,0%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006,127,127,100%,126,99.20%,99.20%,110,86.60%,86.60%,16,12.60%,12.60%,1,0.80%,0.80%,0,0%,0,0%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006 Aug,127,127,100%,126,99.20%,99.20%,110,86.60%,86.60%,16,12.60%,12.60%,1,0.80%,0.80%,0,0%,0,0%
02M418,MILLENNIUM HIGH SCHOOL,2002,91,82,90.10%,68,74.70%,82.90%,0,0%,0%,68,74.70%,82.90%,14,15.40%,17.10%,8,8.80%,1,1.10%
02M418,MILLENNIUM HIGH SCHOOL,2003,107,95,88.80%,82,76.60%,86.30%,21,19.60%,22.10%,61,57%,64.20%,13,12.10%,13.70%,11,10.30%,1,0.90%
02M418,MILLENNIUM HIGH SCHOOL,2004,105,101,96.20%,89,84.80%,88.10%,22,21%,21.80%,67,63.80%,66.30%,12,11.40%,11.90%,2,1.90%,2,1.90%
02M418,MILLENNIUM HIGH SCHOOL,2005,123,119,96.70%,106,86.20%,89.10%,15,12.20%,12.60%,91,74%,76.50%,13,10.60%,10.90%,4,3.30%,0,0%
02M418,MILLENNIUM HIGH SCHOOL,2006,150,145,96.70%,139,92.70%,95.90%,68,45.30%,46.90%,71,47.30%,49%,6,4%,4.10%,5,3.30%,0,0%
02M418,MILLENNIUM HIGH SCHOOL,2006 Aug,150,149,99.30%,140,93.30%,94%,68,45.30%,45.60%,72,48%,48.30%,9,6%,6%,1,0.70%,0,0%
02M419,LANDMARK HIGH SCHOOL,2001,79,48,60.80%,0,0%,0%,0,0%,0%,0,0%,0%,48,60.80%,100%,21,26.60%,8,10.10%
02M419,LANDMARK HIGH SCHOOL,2002,95,58,61.10%,0,0%,0%,0,0%,0%,0,0%,0%,58,61.10%,100%,22,23.20%,15,15.80%
02M419,LANDMARK HIGH SCHOOL,2003,78,47,60.30%,0,0%,0%,0,0%,0%,0,0%,0%,47,60.30%,100%,12,15.40%,18,23.10%
02M419,LANDMARK HIGH SCHOOL,2004,100,52,52%,0,0%,0%,0,0%,0%,0,0%,0%,52,52%,100%,33,33%,12,12%
02M419,LANDMARK HIGH SCHOOL,2005,98,60,61.20%,0,0%,0%,0,0%,0%,0,0%,0%,60,61.20%,100%,26,26.50%,7,7.10%
02M419,LANDMARK HIGH SCHOOL,2006,94,58,61.70%,58,61.70%,100%,0,0%,0%,58,61.70%,100%,0,0%,0%,17,18.10%,13,13.80%
02M419,LANDMARK HIGH SCHOOL,2006 Aug,94,61,64.90%,61,64.90%,100%,0,0%,0%,61,64.90%,100%,0,0%,0%,14,14.90%,13,13.80%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2001,307,235,76.50%,203,66.10%,86.40%,52,16.90%,22.10%,151,49.20%,64.30%,32,10.40%,13.60%,41,13.40%,28,9.10%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2002,307,251,81.80%,194,63.20%,77.30%,55,17.90%,21.90%,139,45.30%,55.40%,57,18.60%,22.70%,28,9.10%,22,7.20%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2003,246,184,74.80%,112,45.50%,60.90%,21,8.50%,11.40%,91,37%,49.50%,72,29.30%,39.10%,47,19.10%,11,4.50%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2004,269,207,77%,171,63.60%,82.60%,48,17.80%,23.20%,123,45.70%,59.40%,36,13.40%,17.40%,58,21.60%,1,0.40%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2005,344,254,73.80%,213,61.90%,83.90%,45,13.10%,17.70%,168,48.80%,66.10%,41,11.90%,16.10%,80,23.30%,1,0.30%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2006,341,280,82.10%,242,71%,86.40%,49,14.40%,17.50%,193,56.60%,68.90%,38,11.10%,13.60%,50,14.70%,2,0.60%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2006 Aug,341,294,86.20%,250,73.30%,85%,49,14.40%,16.70%,201,58.90%,68.40%,44,12.90%,15%,36,10.60%,2,0.60%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2001,120,84,70%,15,12.50%,17.90%,0,0%,0%,15,12.50%,17.90%,69,57.50%,82.10%,15,12.50%,14,11.70%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2002,121,84,69.40%,47,38.80%,56%,19,15.70%,22.60%,28,23.10%,33.30%,37,30.60%,44%,8,6.60%,19,15.70%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2003,170,97,57.10%,46,27.10%,47.40%,2,1.20%,2.10%,44,25.90%,45.40%,51,30%,52.60%,28,16.50%,27,15.90%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2004,151,90,59.60%,45,29.80%,50%,10,6.60%,11.10%,35,23.20%,38.90%,45,29.80%,50%,22,14.60%,29,19.20%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2005,143,72,50.30%,25,17.50%,34.70%,0,0%,0%,25,17.50%,34.70%,47,32.90%,65.30%,35,24.50%,27,18.90%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2006,144,78,54.20%,58,40.30%,74.40%,9,6.30%,11.50%,49,34%,62.80%,20,13.90%,25.60%,32,22.20%,23,16%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2006 Aug,144,93,64.60%,66,45.80%,71%,9,6.30%,9.70%,57,39.60%,61.30%,27,18.80%,29%,17,11.80%,23,16%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2001,75,16,21.30%,0,0%,0%,0,0%,0%,0,0%,0%,16,21.30%,100%,36,48%,21,28%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2002,75,25,33.30%,0,0%,0%,0,0%,0%,0,0%,0%,27,36%,108%,27,36%,21,28%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2003,76,28,36.80%,2,2.60%,7.10%,0,0%,0%,2,2.60%,7.10%,26,34.20%,92.90%,29,38.20%,16,21.10%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2004,71,27,38%,3,4.20%,11.10%,0,0%,0%,3,4.20%,11.10%,24,33.80%,88.90%,19,26.80%,24,33.80%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2005,93,47,50.50%,18,19.40%,38.30%,3,3.20%,6.40%,15,16.10%,31.90%,29,31.20%,61.70%,30,32.30%,10,10.80%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2006,73,35,47.90%,15,20.50%,42.90%,0,0%,0%,15,20.50%,42.90%,20,27.40%,57.10%,22,30.10%,5,6.80%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2006 Aug,73,43,58.90%,17,23.30%,39.50%,0,0%,0%,17,23.30%,39.50%,26,35.60%,60.50%,14,19.20%,5,6.80%
02M439,MANHATTAN VILLAGE ACADEMY,2001,63,54,85.70%,33,52.40%,61.10%,0,0%,0%,33,52.40%,61.10%,21,33.30%,38.90%,5,7.90%,1,1.60%
02M439,MANHATTAN VILLAGE ACADEMY,2002,80,60,75%,47,58.80%,78.30%,0,0%,0%,47,58.80%,78.30%,13,16.30%,21.70%,15,18.80%,1,1.30%
02M439,MANHATTAN VILLAGE ACADEMY,2003,86,76,88.40%,56,65.10%,73.70%,3,3.50%,3.90%,53,61.60%,69.70%,20,23.30%,26.30%,7,8.10%,2,2.30%
02M439,MANHATTAN VILLAGE ACADEMY,2004,87,78,89.70%,64,73.60%,82.10%,7,8%,9%,57,65.50%,73.10%,14,16.10%,17.90%,4,4.60%,4,4.60%
02M439,MANHATTAN VILLAGE ACADEMY,2005,74,73,98.60%,67,90.50%,91.80%,17,23%,23.30%,50,67.60%,68.50%,6,8.10%,8.20%,1,1.40%,0,0%
02M439,MANHATTAN VILLAGE ACADEMY,2006,110,108,98.20%,106,96.40%,98.10%,45,40.90%,41.70%,61,55.50%,56.50%,2,1.80%,1.90%,0,0%,0,0%
02M439,MANHATTAN VILLAGE ACADEMY,2006 Aug,110,108,98.20%,106,96.40%,98.10%,45,40.90%,41.70%,61,55.50%,56.50%,2,1.80%,1.90%,0,0%,0,0%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2001,515,265,51.50%,121,23.50%,45.70%,44,8.50%,16.60%,77,15%,29.10%,144,28%,54.30%,128,24.90%,109,21.20%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2002,510,210,41.20%,102,20%,48.60%,34,6.70%,16.20%,68,13.30%,32.40%,108,21.20%,51.40%,195,38.20%,88,17.30%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2003,407,131,32.20%,41,10.10%,31.30%,16,3.90%,12.20%,25,6.10%,19.10%,90,22.10%,68.70%,175,43%,92,22.60%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2004,417,201,48.20%,54,12.90%,26.90%,19,4.60%,9.50%,35,8.40%,17.40%,147,35.30%,73.10%,129,30.90%,78,18.70%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2005,400,204,51%,85,21.30%,41.70%,10,2.50%,4.90%,75,18.80%,36.80%,119,29.80%,58.30%,123,30.80%,55,13.80%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006,365,139,38.10%,73,20%,52.50%,8,2.20%,5.80%,65,17.80%,46.80%,66,18.10%,47.50%,132,36.20%,68,18.60%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006 Aug,365,171,46.80%,82,22.50%,48%,8,2.20%,4.70%,74,20.30%,43.30%,89,24.40%,52%,100,27.40%,68,18.60%
02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2001,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2003,4,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2004,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2005,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M445,SEWARD PARK HIGH SCHOOL,2001,329,105,31.90%,34,10.30%,32.40%,0,0%,0%,34,10.30%,32.40%,71,21.60%,67.60%,89,27.10%,109,33.10%
02M445,SEWARD PARK HIGH SCHOOL,2002,201,117,58.20%,45,22.40%,38.50%,0,0%,0%,45,22.40%,38.50%,74,36.80%,63.20%,12,6%,62,30.80%
02M445,SEWARD PARK HIGH SCHOOL,2003,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M445,SEWARD PARK HIGH SCHOOL,2004,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M445,SEWARD PARK HIGH SCHOOL,2005,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M449,VANGUARD HIGH SCHOOL,2001,90,48,53.30%,18,20%,37.50%,0,0%,0%,18,20%,37.50%,30,33.30%,62.50%,32,35.60%,10,11.10%
02M449,VANGUARD HIGH SCHOOL,2002,39,26,66.70%,0,0%,0%,0,0%,0%,0,0%,0%,26,66.70%,100%,5,12.80%,7,17.90%
02M449,VANGUARD HIGH SCHOOL,2003,61,40,65.60%,27,44.30%,67.50%,0,0%,0%,27,44.30%,67.50%,13,21.30%,32.50%,11,18%,9,14.80%
02M449,VANGUARD HIGH SCHOOL,2004,68,32,47.10%,30,44.10%,93.80%,0,0%,0%,30,44.10%,93.80%,2,2.90%,6.30%,26,38.20%,5,7.40%
02M449,VANGUARD HIGH SCHOOL,2005,76,60,78.90%,56,73.70%,93.30%,0,0%,0%,56,73.70%,93.30%,4,5.30%,6.70%,13,17.10%,0,0%
02M449,VANGUARD HIGH SCHOOL,2006,89,40,44.90%,38,42.70%,95%,0,0%,0%,38,42.70%,95%,2,2.20%,5%,41,46.10%,3,3.40%
02M449,VANGUARD HIGH SCHOOL,2006 Aug,89,53,59.60%,51,57.30%,96.20%,0,0%,0%,51,57.30%,96.20%,2,2.20%,3.80%,28,31.50%,3,3.40%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2001,53,34,64.20%,0,0%,0%,0,0%,0%,0,0%,0%,34,64.20%,100%,16,30.20%,3,5.70%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2002,55,33,60%,0,0%,0%,0,0%,0%,0,0%,0%,33,60%,100%,17,30.90%,4,7.30%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2003,91,52,57.10%,0,0%,0%,0,0%,0%,0,0%,0%,52,57.10%,100%,32,35.20%,5,5.50%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2004,66,42,63.60%,31,47%,73.80%,0,0%,0%,31,47%,73.80%,11,16.70%,26.20%,20,30.30%,4,6.10%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2005,68,36,52.90%,34,50%,94.40%,0,0%,0%,34,50%,94.40%,2,2.90%,5.60%,22,32.40%,7,10.30%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2006,69,38,55.10%,38,55.10%,100%,0,0%,0%,38,55.10%,100%,0,0%,0%,23,33.30%,5,7.20%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2006 Aug,69,41,59.40%,41,59.40%,100%,0,0%,0%,41,59.40%,100%,0,0%,0%,20,29%,5,7.20%
02M460,WASHINGTON IRVING HIGH SCHOOL,2001,562,243,43.20%,93,16.50%,38.30%,23,4.10%,9.50%,70,12.50%,28.80%,150,26.70%,61.70%,161,28.60%,154,27.40%
02M460,WASHINGTON IRVING HIGH SCHOOL,2002,633,288,45.50%,124,19.60%,43.10%,4,0.60%,1.40%,120,19%,41.70%,164,25.90%,56.90%,183,28.90%,140,22.10%
02M460,WASHINGTON IRVING HIGH SCHOOL,2003,623,266,42.70%,142,22.80%,53.40%,18,2.90%,6.80%,124,19.90%,46.60%,124,19.90%,46.60%,200,32.10%,141,22.60%
02M460,WASHINGTON IRVING HIGH SCHOOL,2004,588,215,36.60%,99,16.80%,46%,23,3.90%,10.70%,76,12.90%,35.30%,116,19.70%,54%,211,35.90%,144,24.50%
02M460,WASHINGTON IRVING HIGH SCHOOL,2005,435,159,36.60%,84,19.30%,52.80%,5,1.10%,3.10%,79,18.20%,49.70%,75,17.20%,47.20%,96,22.10%,145,33.30%
02M460,WASHINGTON IRVING HIGH SCHOOL,2006,443,230,51.90%,177,40%,77%,12,2.70%,5.20%,165,37.20%,71.70%,53,12%,23%,61,13.80%,118,26.60%
02M460,WASHINGTON IRVING HIGH SCHOOL,2006 Aug,443,237,53.50%,180,40.60%,75.90%,12,2.70%,5.10%,168,37.90%,70.90%,57,12.90%,24.10%,54,12.20%,118,26.60%
02M475,STUYVESANT HIGH SCHOOL,2001,765,748,97.80%,748,97.80%,100%,744,97.30%,99.50%,4,0.50%,0.50%,0,0%,0%,15,2%,2,0.30%
02M475,STUYVESANT HIGH SCHOOL,2002,779,748,96%,748,96%,100%,738,94.70%,98.70%,10,1.30%,1.30%,0,0%,0%,23,3%,4,0.50%
02M475,STUYVESANT HIGH SCHOOL,2003,690,671,97.20%,671,97.20%,100%,668,96.80%,99.60%,3,0.40%,0.40%,0,0%,0%,18,2.60%,1,0.10%
02M475,STUYVESANT HIGH SCHOOL,2004,694,679,97.80%,679,97.80%,100%,674,97.10%,99.30%,5,0.70%,0.70%,0,0%,0%,14,2%,1,0.10%
02M475,STUYVESANT HIGH SCHOOL,2005,781,754,96.50%,754,96.50%,100%,747,95.60%,99.10%,7,0.90%,0.90%,0,0%,0%,22,2.80%,4,0.50%
02M475,STUYVESANT HIGH SCHOOL,2006,787,774,98.30%,774,98.30%,100%,770,97.80%,99.50%,4,0.50%,0.50%,0,0%,0%,10,1.30%,3,0.40%
02M475,STUYVESANT HIGH SCHOOL,2006 Aug,787,780,99.10%,780,99.10%,100%,772,98.10%,99%,8,1%,1%,0,0%,0%,4,0.50%,3,0.40%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2001,113,93,82.30%,64,56.60%,68.80%,27,23.90%,29%,37,32.70%,39.80%,29,25.70%,31.20%,12,10.60%,8,7.10%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2002,148,122,82.40%,92,62.20%,75.40%,27,18.20%,22.10%,65,43.90%,53.30%,30,20.30%,24.60%,12,8.10%,13,8.80%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2003,136,101,74.30%,75,55.10%,74.30%,1,0.70%,1%,74,54.40%,73.30%,26,19.10%,25.70%,21,15.40%,12,8.80%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2004,146,115,78.80%,79,54.10%,68.70%,34,23.30%,29.60%,45,30.80%,39.10%,36,24.70%,31.30%,19,13%,12,8.20%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2005,134,94,70.10%,74,55.20%,78.70%,23,17.20%,24.50%,51,38.10%,54.30%,20,14.90%,21.30%,21,15.70%,15,11.20%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2006,177,136,76.80%,112,63.30%,82.40%,43,24.30%,31.60%,69,39%,50.70%,24,13.60%,17.60%,22,12.40%,13,7.30%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2006 Aug,177,150,84.70%,121,68.40%,80.70%,43,24.30%,28.70%,78,44.10%,52%,29,16.40%,19.30%,8,4.50%,13,7.30%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2001,43,14,32.60%,9,20.90%,64.30%,0,0%,0%,9,20.90%,64.30%,5,11.60%,35.70%,20,46.50%,9,20.90%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2002,47,15,31.90%,15,31.90%,100%,0,0%,0%,15,31.90%,100%,0,0%,0%,12,25.50%,17,36.20%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2003,30,12,40%,9,30%,75%,0,0%,0%,9,30%,75%,3,10%,25%,10,33.30%,8,26.70%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2004,40,21,52.50%,12,30%,57.10%,0,0%,0%,12,30%,57.10%,9,22.50%,42.90%,16,40%,3,7.50%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2005,41,21,51.20%,8,19.50%,38.10%,0,0%,0%,8,19.50%,38.10%,13,31.70%,61.90%,13,31.70%,6,14.60%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006,53,39,73.60%,31,58.50%,79.50%,4,7.50%,10.30%,27,50.90%,69.20%,8,15.10%,20.50%,7,13.20%,6,11.30%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006 Aug,53,39,73.60%,31,58.50%,79.50%,4,7.50%,10.30%,27,50.90%,69.20%,8,15.10%,20.50%,7,13.20%,6,11.30%
02M519,TALENT UNLIMITED HIGH SCHOOL,2001,67,62,92.50%,48,71.60%,77.40%,0,0%,0%,48,71.60%,77.40%,14,20.90%,22.60%,1,1.50%,1,1.50%
02M519,TALENT UNLIMITED HIGH SCHOOL,2002,80,67,83.80%,60,75%,89.60%,15,18.80%,22.40%,45,56.30%,67.20%,7,8.80%,10.40%,8,10%,5,6.30%
02M519,TALENT UNLIMITED HIGH SCHOOL,2003,134,119,88.80%,96,71.60%,80.70%,49,36.60%,41.20%,47,35.10%,39.50%,23,17.20%,19.30%,12,9%,3,2.20%
02M519,TALENT UNLIMITED HIGH SCHOOL,2004,94,81,86.20%,67,71.30%,82.70%,36,38.30%,44.40%,31,33%,38.30%,14,14.90%,17.30%,11,11.70%,2,2.10%
02M519,TALENT UNLIMITED HIGH SCHOOL,2005,92,82,89.10%,66,71.70%,80.50%,18,19.60%,22%,48,52.20%,58.50%,16,17.40%,19.50%,10,10.90%,0,0%
02M519,TALENT UNLIMITED HIGH SCHOOL,2006,136,126,92.60%,119,87.50%,94.40%,36,26.50%,28.60%,83,61%,65.90%,7,5.10%,5.60%,9,6.60%,0,0%
02M519,TALENT UNLIMITED HIGH SCHOOL,2006 Aug,136,127,93.40%,120,88.20%,94.50%,36,26.50%,28.30%,84,61.80%,66.10%,7,5.10%,5.50%,8,5.90%,0,0%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2001,597,404,67.70%,330,55.30%,81.70%,56,9.40%,13.90%,274,45.90%,67.80%,74,12.40%,18.30%,100,16.80%,73,12.20%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2002,535,352,65.80%,287,53.60%,81.50%,79,14.80%,22.40%,208,38.90%,59.10%,65,12.10%,18.50%,100,18.70%,73,13.60%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2003,525,300,57.10%,226,43%,75.30%,150,28.60%,50%,76,14.50%,25.30%,74,14.10%,24.70%,107,20.40%,104,19.80%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2004,611,306,50.10%,218,35.70%,71.20%,156,25.50%,51%,62,10.10%,20.30%,88,14.40%,28.80%,178,29.10%,117,19.10%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2005,585,338,57.80%,245,41.90%,72.50%,37,6.30%,10.90%,208,35.60%,61.50%,93,15.90%,27.50%,145,24.80%,73,12.50%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2006,637,359,56.40%,268,42.10%,74.70%,31,4.90%,8.60%,237,37.20%,66%,91,14.30%,25.30%,181,28.40%,74,11.60%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2006 Aug,637,386,60.60%,278,43.60%,72%,31,4.90%,8%,247,38.80%,64%,108,17%,28%,154,24.20%,74,11.60%
